tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,5,5,0.01,0.2,0.01,0.00031150688300840557,12,0.685
0.01,5,5,0.01,0.2,0.001,0.000328162859659642,12,0.728
0.01,5,5,0.01,0.2,0.0001,0.0003251148737035692,11,0.677
0.01,5,5,0.001,0.0,0.01,0.00026652123779058456,1,0.346
0.01,5,5,0.001,0.0,0.001,0.00026793216238729656,1,0.316
0.01,5,5,0.001,0.0,0.0001,0.0002681601035874337,1,0.316
0.01,5,5,0.001,0.2,0.01,0.00027982660685665905,1,0.348
0.01,5,5,0.001,0.2,0.001,0.00028427864890545607,1,0.347
0.01,5,5,0.001,0.2,0.0001,0.0002847147698048502,1,0.347
0.01,5,5,0.0001,0.0,0.01,0.00026106342556886375,12,0.644
0.01,5,5,0.0001,0.0,0.001,0.0002615560370031744,11,0.628
0.01,5,5,0.0001,0.0,0.0001,0.00026155123487114906,11,0.607
0.01,5,5,0.0001,0.2,0.01,0.0002657995792105794,11,0.67
0.01,5,5,0.0001,0.2,0.001,0.00026751551195047796,10,0.622
0.01,5,5,0.0001,0.2,0.0001,0.0002672143455129117,10,0.637
0.01,5,10,0.01,0.0,0.01,0.00029897119384258986,13,0.67
0.01,5,10,0.01,0.0,0.001,0.00031354749808087945,10,0.583
0.01,5,10,0.01,0.0,0.0001,0.0002635874261613935,7,0.501
0.01,5,10,0.01,0.2,0.01,0.00030737114138901234,10,0.644
0.01,5,10,0.01,0.2,0.001,0.00028271021437831223,10,0.64
0.01,5,10,0.01,0.2,0.0001,0.00028270151233300567,5,0.48
0.01,5,10,0.001,0.0,0.01,0.00034200408845208585,5,0.44
0.01,5,10,0.001,0.0,0.001,0.0003789692127611488,12,0.644
0.01,5,10,0.001,0.0,0.0001,0.00033507938496768475,25,1.026
0.01,5,10,0.001,0.2,0.01,0.00039002238190732896,14,0.769
0.01,5,10,0.001,0.2,0.001,0.00035996007500216365,56,2.118
0.01,5,10,0.001,0.2,0.0001,0.00037753256037831306,37,1.51
0.01,5,10,0.0001,0.0,0.01,0.0002615923876874149,5,0.432
0.01,5,10,0.0001,0.0,0.001,0.0002628618385642767,4,0.411
0.01,5,10,0.0001,0.0,0.0001,0.00026196002727374434,4,0.403
0.01,5,10,0.0001,0.2,0.01,0.0002797477354761213,3,0.419
0.01,5,10,0.0001,0.2,0.001,0.00028451636899262667,3,0.424
0.01,5,10,0.0001,0.2,0.0001,0.00028554629534482956,3,0.416
0.01,10,1,0.01,0.0,0.01,0.0003415181126911193,3,0.553
0.01,10,1,0.01,0.0,0.001,0.000350059854099527,12,0.937
0.01,10,1,0.01,0.0,0.0001,0.00028275183285586536,28,1.621
0.01,10,1,0.01,0.2,0.01,0.00028718390967696905,30,1.888
0.01,10,1,0.01,0.2,0.001,0.00028494891012087464,30,1.899
0.01,10,1,0.01,0.2,0.0001,0.00027263700030744076,30,1.893
0.01,10,1,0.001,0.0,0.01,0.00026233226526528597,9,0.804
0.01,10,1,0.001,0.0,0.001,0.0002627093344926834,9,0.806
0.01,10,1,0.001,0.0,0.0001,0.0002627123612910509,9,0.809
0.01,10,1,0.001,0.2,0.01,0.00029777258168905973,7,0.805
0.01,10,1,0.001,0.2,0.001,0.00031037881853990257,7,0.805
0.01,10,1,0.001,0.2,0.0001,0.0003200259816367179,7,0.809
0.01,10,1,0.0001,0.0,0.01,0.00026122911367565393,86,4.063
0.01,10,1,0.0001,0.0,0.001,0.0002611738455016166,86,4.061
0.01,10,1,0.0001,0.0,0.0001,0.0002611743111629039,86,4.084
0.01,10,1,0.0001,0.2,0.01,0.0002610290248412639,78,4.161
0.01,10,1,0.0001,0.2,0.001,0.00026238596183247864,77,4.109
0.01,10,1,0.0001,0.2,0.0001,0.0002617846184875816,78,4.145
0.01,10,5,0.01,0.0,0.01,0.00030916344258002937,11,0.903
0.01,10,5,0.01,0.0,0.001,0.00030783380498178303,11,0.907
0.01,10,5,0.01,0.0,0.0001,0.0002612791140563786,13,0.985
0.01,10,5,0.01,0.2,0.01,0.0002610086521599442,25,1.681
0.01,10,5,0.01,0.2,0.001,0.0002690245455596596,18,1.359
0.01,10,5,0.01,0.2,0.0001,0.0002650783280842006,25,1.703
0.01,10,5,0.001,0.0,0.01,0.000329350761603564,4,0.606
0.01,10,5,0.001,0.0,0.001,0.0003235222538933158,4,0.596
0.01,10,5,0.001,0.0,0.0001,0.00034291003248654306,14,1.03
0.01,10,5,0.001,0.2,0.01,0.0003939001471735537,7,0.822
0.01,10,5,0.001,0.2,0.001,0.0003618313348852098,20,1.449
0.01,10,5,0.001,0.2,0.0001,0.00034624242107383907,5,0.727
0.01,10,5,0.0001,0.0,0.01,0.00035936731728725135,43,2.316
0.01,10,5,0.0001,0.0,0.001,0.00041992493788711727,27,1.595
0.01,10,5,0.0001,0.0,0.0001,0.00041063479147851467,43,2.279
0.01,10,5,0.0001,0.2,0.01,0.0003847343323286623,55,3.144
0.01,10,5,0.0001,0.2,0.001,0.000407666084356606,68,3.755
0.01,10,5,0.0001,0.2,0.0001,0.0003695280465763062,35,2.169
0.01,10,10,0.01,0.0,0.01,0.00026118176174350083,19,1.278
0.01,10,10,0.01,0.0,0.001,0.0003002961166203022,12,0.973
0.01,10,10,0.01,0.0,0.0001,0.000266281800577417,19,1.281
0.01,10,10,0.01,0.2,0.01,0.0002622955944389105,13,1.135
0.01,10,10,0.01,0.2,0.001,0.00031028114608488977,3,0.641
0.01,10,10,0.01,0.2,0.0001,0.0003276945208199322,12,1.092
0.01,10,10,0.001,0.0,0.01,0.0003619382914621383,14,1.061
0.01,10,10,0.001,0.0,0.001,0.00033152179094031453,24,1.497
0.01,10,10,0.001,0.0,0.0001,0.0003394734812900424,12,0.966
0.01,10,10,0.001,0.2,0.01,0.00034554797457531095,12,1.102
0.01,10,10,0.001,0.2,0.001,0.0003831547510344535,33,2.136
0.01,10,10,0.001,0.2,0.0001,0.00036229818942956626,51,3.015
