date,0.01,0.05,0.1
2002-01-09,-0.041158393,-0.026108623,-0.023144014
2002-01-10,-0.042165548,-0.026893929,-0.02342631
2002-01-11,-0.040144846,-0.025914341,-0.023414917
2002-01-14,-0.043740995,-0.02814132,-0.023540094
2002-01-15,-0.04417008,-0.028743356,-0.023823947
2002-01-16,-0.038859993,-0.025811672,-0.023565002
2002-01-17,-0.04595962,-0.0299474,-0.023256227
2002-01-18,-0.04086107,-0.027344808,-0.02396956
2002-01-22,-0.04214254,-0.027861193,-0.023689419
2002-01-23,-0.04388787,-0.02892387,-0.023765422
2002-01-24,-0.03831009,-0.025722258,-0.02345825
2002-01-25,-0.037659213,-0.024948113,-0.022948302
2002-01-28,-0.038321853,-0.025065154,-0.022823058
2002-01-29,-0.038859993,-0.02520661,-0.022836372
2002-01-30,-0.049631,-0.032501385,-0.022922829
2002-01-31,-0.040292628,-0.027364872,-0.02439788
2002-02-01,-0.034764506,-0.02333866,-0.021962494
2002-02-04,-0.039519317,-0.02590952,-0.023070201
2002-02-05,-0.049518324,-0.032540426,-0.02326341
2002-02-06,-0.046529636,-0.031060591,-0.024380893
2002-02-07,-0.03753163,-0.028069973,-0.021166861
2002-02-08,-0.03744472,-0.027481481,-0.020706974
2002-02-11,-0.03854005,-0.023823962,-0.015504032
2002-02-12,-0.03818357,-0.021451108,-0.0131637305
2002-02-13,-0.03746485,-0.022291929,-0.016428337
2002-02-14,-0.038287297,-0.0209402,-0.014327198
2002-02-15,-0.037631124,-0.021837518,-0.016050674
2002-02-19,-0.03685177,-0.02403216,-0.019112103
2002-02-20,-0.035740256,-0.02718091,-0.021327138
2002-02-21,-0.03853909,-0.02471535,-0.016850159
2002-02-22,-0.03674473,-0.026669487,-0.020587772
2002-02-25,-0.038124517,-0.02515097,-0.017756455
2002-02-26,-0.038538508,-0.021693945,-0.012997866
2002-02-27,-0.038063318,-0.021998815,-0.015543044
2002-02-28,-0.037811458,-0.022257641,-0.016270965
2002-03-01,-0.03742759,-0.022984043,-0.01725278
2002-03-04,-0.03798575,-0.01979918,-0.011219546
2002-03-05,-0.03743665,-0.01800625,-0.0092333555
2002-03-06,-0.038008913,-0.020024695,-0.014808953
2002-03-07,-0.03839135,-0.018779434,-0.011660352
2002-03-08,-0.041836187,-0.03163685,-0.026752986
2002-03-11,-0.041025102,-0.03130026,-0.02643115
2002-03-12,-0.041514285,-0.031263158,-0.026276521
2002-03-13,-0.04425156,-0.031478487,-0.026104547
2002-03-14,-0.048517317,-0.032381564,-0.026306808
