tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,5,5,0.01,0.2,0.01,0.000360036181518808,5,0.466
0.01,5,5,0.01,0.2,0.001,0.00032902369275689125,16,0.809
0.01,5,5,0.01,0.2,0.0001,0.000330993760144338,4,0.435
0.01,5,5,0.001,0.0,0.01,0.00034137669717893004,8,0.517
0.01,5,5,0.001,0.0,0.001,0.00035887659760192037,1,0.32
0.01,5,5,0.001,0.0,0.0001,0.0003594760491978377,1,0.31
0.01,5,5,0.001,0.2,0.01,0.0006795374793000519,1,0.341
0.01,5,5,0.001,0.2,0.001,0.000683733553159982,1,0.347
0.01,5,5,0.001,0.2,0.0001,0.0006853282684460282,1,0.347
0.01,5,5,0.0001,0.0,0.01,0.00026108697056770325,9,0.532
0.01,5,5,0.0001,0.0,0.001,0.00026107809389941394,9,0.533
0.01,5,5,0.0001,0.0,0.0001,0.00026110149337910116,9,0.544
0.01,5,5,0.0001,0.2,0.01,0.0002663691120687872,7,0.526
0.01,5,5,0.0001,0.2,0.001,0.0002658561570569873,7,0.53
0.01,5,5,0.0001,0.2,0.0001,0.0002657503937371075,7,0.533
0.01,5,10,0.01,0.0,0.01,0.00034628843422979116,1,0.319
0.01,5,10,0.01,0.0,0.001,0.0003129270626232028,4,0.406
0.01,5,10,0.01,0.0,0.0001,0.00030157770379446447,10,0.575
0.01,5,10,0.01,0.2,0.01,0.0003330211329739541,6,0.507
0.01,5,10,0.01,0.2,0.001,0.00026545373839326203,24,1.077
0.01,5,10,0.01,0.2,0.0001,0.00033148349029943347,6,0.509
0.01,5,10,0.001,0.0,0.01,0.0003142844361718744,2,0.345
0.01,5,10,0.001,0.0,0.001,0.00037892788532190025,6,0.461
0.01,5,10,0.001,0.0,0.0001,0.0004064867680426687,11,0.607
0.01,5,10,0.001,0.2,0.01,0.00038437743205577135,26,1.144
0.01,5,10,0.001,0.2,0.001,0.00036293797893449664,53,1.998
0.01,5,10,0.001,0.2,0.0001,0.00040996316238306463,26,1.146
0.01,5,10,0.0001,0.0,0.01,0.00026179710403084755,9,0.556
0.01,5,10,0.0001,0.0,0.001,0.0002614826080389321,8,0.518
0.01,5,10,0.0001,0.0,0.0001,0.00026133342180401087,8,0.522
0.01,5,10,0.0001,0.2,0.01,0.00027017496176995337,7,0.544
0.01,5,10,0.0001,0.2,0.001,0.00030072309891693294,7,0.541
0.01,5,10,0.0001,0.2,0.0001,0.00030391046311706305,7,0.544
0.01,10,1,0.01,0.0,0.01,0.00028968852711841464,16,1.095
0.01,10,1,0.01,0.0,0.001,0.00026393530424684286,16,1.097
0.01,10,1,0.01,0.0,0.0001,0.00029148629982955754,20,1.258
0.01,10,1,0.01,0.2,0.01,0.00032105069840326905,5,0.704
0.01,10,1,0.01,0.2,0.001,0.00032028366695158184,5,0.7
0.01,10,1,0.01,0.2,0.0001,0.0002817107015289366,15,1.167
0.01,10,1,0.001,0.0,0.01,0.00038133934140205383,9,0.795
0.01,10,1,0.001,0.0,0.001,0.0003781893465202302,9,0.809
0.01,10,1,0.001,0.0,0.0001,0.0003904688637703657,9,0.797
0.01,10,1,0.001,0.2,0.01,0.0003690882585942745,5,0.692
0.01,10,1,0.001,0.2,0.001,0.000373002199921757,5,0.71
0.01,10,1,0.001,0.2,0.0001,0.00039266940439119935,6,0.745
0.01,10,1,0.0001,0.0,0.01,0.00041582409176044166,53,2.649
0.01,10,1,0.0001,0.0,0.001,0.0004217592068016529,48,2.415
0.01,10,1,0.0001,0.0,0.0001,0.0004186343867331743,67,3.237
0.01,10,1,0.0001,0.2,0.01,0.0004125639970880002,53,2.974
0.01,10,1,0.0001,0.2,0.001,0.0004177537630312145,51,2.843
0.01,10,1,0.0001,0.2,0.0001,0.00041894850437529385,51,2.861
0.01,10,5,0.01,0.0,0.01,0.0002611651725601405,14,1.034
0.01,10,5,0.01,0.0,0.001,0.00026869034627452493,16,1.111
0.01,10,5,0.01,0.0,0.0001,0.000266991468379274,16,1.133
0.01,10,5,0.01,0.2,0.01,0.00026601957506500185,2,0.577
0.01,10,5,0.01,0.2,0.001,0.00032453230232931674,10,0.961
0.01,10,5,0.01,0.2,0.0001,0.00026522146072238684,2,0.577
0.01,10,5,0.001,0.0,0.01,0.0003700903325807303,12,0.946
0.01,10,5,0.001,0.0,0.001,0.0003778678656090051,2,0.519
0.01,10,5,0.001,0.0,0.0001,0.0003678131615743041,4,0.601
0.01,10,5,0.001,0.2,0.01,0.0003810454218182713,1,0.533
0.01,10,5,0.001,0.2,0.001,0.0003864659811370075,6,0.777
0.01,10,5,0.001,0.2,0.0001,0.0003975329746026546,6,0.768
0.01,10,5,0.0001,0.0,0.01,0.0004123537801206112,20,1.292
0.01,10,5,0.0001,0.0,0.001,0.0004200236580800265,20,1.29
0.01,10,5,0.0001,0.0,0.0001,0.00042045695590786636,20,1.302
0.01,10,5,0.0001,0.2,0.01,0.0004063129017595202,21,1.491
0.01,10,5,0.0001,0.2,0.001,0.00041556908399797976,21,1.492
0.01,10,5,0.0001,0.2,0.0001,0.00042129558278247714,21,1.498
0.01,10,10,0.01,0.0,0.01,0.0003193284210283309,2,0.533
0.01,10,10,0.01,0.0,0.001,0.0003407570766285062,3,0.562
0.01,10,10,0.01,0.0,0.0001,0.00026170117780566216,3,0.583
0.01,10,10,0.01,0.2,0.01,0.0002696704468689859,12,1.094
