date,0.01,0.05,0.1
2002-01-09,-0.058765873,-0.032879338,-0.0139400065
2002-01-10,-0.058449,-0.033899456,-0.01510483
2002-01-11,-0.05812013,-0.032626346,-0.014776558
2002-01-14,-0.058813334,-0.035110176,-0.01612857
2002-01-15,-0.05825965,-0.034771934,-0.01602757
2002-01-16,-0.057923093,-0.03230603,-0.0153360665
2002-01-17,-0.058094323,-0.036047116,-0.016953588
2002-01-18,-0.059459895,-0.034650996,-0.016852632
2002-01-22,-0.060182214,-0.035344943,-0.016917348
2002-01-23,-0.06019613,-0.036314026,-0.017455965
2002-01-24,-0.059604406,-0.03312102,-0.016213119
2002-01-25,-0.061051875,-0.033689678,-0.016383335
2002-01-28,-0.061203822,-0.033692285,-0.016002595
2002-01-29,-0.061209872,-0.03330283,-0.015290409
2002-01-30,-0.058351025,-0.03766997,-0.017419219
2002-01-31,-0.050351933,-0.029987961,-0.016052514
2002-02-01,-0.052856654,-0.028483704,-0.014669314
2002-02-04,-0.056096897,-0.032315284,-0.01602514
2002-02-05,-0.053019136,-0.036352396,-0.018431932
2002-02-06,-0.04864332,-0.03283392,-0.018050864
2002-02-07,-0.054442033,-0.035740092,-0.026277184
2002-02-08,-0.056089193,-0.036812335,-0.02751343
2002-02-11,-0.05744669,-0.034703955,-0.025768533
2002-02-12,-0.05885592,-0.033517823,-0.02412431
2002-02-13,-0.06264345,-0.036543727,-0.02522856
2002-02-14,-0.06252983,-0.036132783,-0.025522977
2002-02-15,-0.06392798,-0.03697668,-0.026192367
2002-02-19,-0.06402734,-0.038434327,-0.026860207
2002-02-20,-0.06268641,-0.040351093,-0.027026325
2002-02-21,-0.057634145,-0.03395334,-0.023859128
2002-02-22,-0.057921678,-0.036355823,-0.024601802
2002-02-25,-0.05412884,-0.032505393,-0.023125723
2002-02-26,-0.05320345,-0.029041946,-0.020967841
2002-02-27,-0.055118352,-0.030594721,-0.021602437
2002-02-28,-0.055051893,-0.031060606,-0.021877617
2002-03-01,-0.05554433,-0.03238222,-0.022489905
2002-03-04,-0.054163933,-0.028961122,-0.02096057
2002-03-05,-0.055902094,-0.029548913,-0.020575598
2002-03-06,-0.05953473,-0.033128545,-0.022850618
2002-03-07,-0.058449134,-0.031645358,-0.021657899
2002-03-08,-0.057482585,-0.021297261,-0.025816664
2002-03-11,-0.05882384,-0.02149652,-0.028158769
2002-03-12,-0.059082,-0.02266936,-0.02851814
2002-03-13,-0.055708334,-0.021028161,-0.02826026
2002-03-14,-0.059414446,-0.025919363,-0.029735342
2002-03-15,-0.05873376,-0.025466815,-0.029235706
2002-03-18,-0.05746597,-0.023048848,-0.029820874
2002-03-19,-0.057870016,-0.023126096,-0.02976422
2002-03-20,-0.056996003,-0.022277832,-0.029352084
2002-03-21,-0.05770792,-0.02450876,-0.028768554
2002-03-22,-0.05614458,-0.023509666,-0.027915046
2002-03-25,-0.055556282,-0.023614377,-0.026693389
2002-03-26,-0.054858133,-0.024725944,-0.024570912
2002-03-27,-0.053457335,-0.022878036,-0.024569288
2002-03-28,-0.052851066,-0.022010729,-0.02466558
2002-04-01,-0.053125158,-0.021904767,-0.024944082
2002-04-02,-0.054785654,-0.02266039,-0.026604697
2002-04-03,-0.05501969,-0.02386798,-0.025952324
2002-04-04,-0.05456437,-0.02491866,-0.024820432
2002-04-05,-0.053238347,-0.023803815,-0.02397491
2002-04-08,-0.055117384,-0.028649032,-0.021094412
2002-04-09,-0.051975995,-0.028466314,-0.01926361
2002-04-10,-0.056157574,-0.030870676,-0.023008287
2002-04-11,-0.05216077,-0.027360737,-0.019333139
2002-04-12,-0.05787298,-0.031503335,-0.024342746
2002-04-15,-0.054105952,-0.028941944,-0.020980656
