,0.01,0.05,0.1
2002-06-21,-0.02869308,-0.020749003,-0.016691208
2002-06-24,-0.02861917,-0.020701006,-0.016629755
2002-06-25,-0.028799534,-0.020818219,-0.01677972
2002-06-26,-0.028412282,-0.020566463,-0.016457736
2002-06-27,-0.02859646,-0.020686224,-0.01661092
2002-06-28,-0.028226554,-0.020445764,-0.01630336
2002-07-01,-0.02850902,-0.02062942,-0.016538203
2002-07-02,-0.027638972,-0.019819543,-0.021361113
2002-07-03,-0.028370261,-0.020320669,-0.022035062
2002-07-05,-0.028750539,-0.02058129,-0.022385478
2002-07-08,-0.028473496,-0.020391405,-0.022130191
2002-07-09,-0.0306046,-0.021851763,-0.024094105
2002-07-10,-0.030237436,-0.021600217,-0.02375573
2002-07-11,-0.030841291,-0.022014022,-0.024312198
2002-07-12,-0.032018602,-0.022820815,-0.025397122
2002-07-15,-0.031295,-0.022324935,-0.024730265
2002-07-16,-0.030586243,-0.021839216,-0.024077177
2002-07-17,-0.02991134,-0.021376729,-0.023455203
2002-07-18,-0.02981931,-0.021313682,-0.023370385
2002-07-19,-0.029323041,-0.020973533,-0.022913039
2002-07-22,-0.03033191,-0.021664962,-0.023842752
2002-07-23,-0.03255272,-0.023186803,-0.025889397
2002-07-24,-0.033181727,-0.023617849,-0.026468992
2002-07-25,-0.0338313,-0.024062976,-0.027067602
2002-07-26,-0.03756398,-0.026620924,-0.030507445
2002-07-29,-0.036188245,-0.025678158,-0.029239655
2002-07-30,-0.03560877,-0.025281057,-0.028705597
2002-07-31,-0.041493475,-0.023346916,-0.028647661
2002-08-01,-0.04004866,-0.0222556,-0.027289033
2002-08-02,-0.038943887,-0.02142109,-0.026250184
2002-08-05,-0.03914225,-0.021570936,-0.026436746
2002-08-06,-0.038713336,-0.021246955,-0.026033401
2002-08-07,-0.039271533,-0.021668583,-0.02655834
2002-08-08,-0.039421022,-0.021781549,-0.026698887
2002-08-09,-0.038843274,-0.021345124,-0.02615565
2002-08-12,-0.039154112,-0.021579921,-0.026447892
2002-08-13,-0.037985027,-0.020696878,-0.025348604
2002-08-14,-0.036931098,-0.019900754,-0.024357617
2002-08-15,-0.036872745,-0.019856736,-0.02430278
2002-08-16,-0.03837973,-0.020994931,-0.025719702
2002-08-19,-0.037445366,-0.020289242,-0.02484119
2002-08-20,-0.036563694,-0.019623265,-0.024012148
2002-08-21,-0.036476016,-0.019557044,-0.023929656
2002-08-22,-0.03578192,-0.019032717,-0.023277044
2002-08-23,-0.035252273,-0.01863271,-0.022779047
2002-08-26,-0.034825087,-0.018310055,-0.022377372
2002-08-27,-0.034924567,-0.018385172,-0.022470891
2002-08-28,-0.03439176,-0.01956892,-0.021238327
2002-08-29,-0.03403938,-0.019285992,-0.02090609
2002-08-30,-0.03387481,-0.019153938,-0.020751
2002-09-03,-0.03310585,-0.018536672,-0.020026088
2002-09-04,-0.03293848,-0.018402278,-0.019868255
2002-09-05,-0.035619974,-0.020554855,-0.022396266
2002-09-06,-0.03532058,-0.020314544,-0.022113979
2002-09-09,-0.03491628,-0.019989997,-0.021732867
2002-09-10,-0.034683943,-0.019803464,-0.02151376
2002-09-11,-0.034196198,-0.019411877,-0.02105397
2002-09-12,-0.033625066,-0.018953472,-0.02051562
2002-09-13,-0.033067703,-0.018506005,-0.019990146
2002-09-16,-0.033721507,-0.019030884,-0.020606458
2002-09-17,-0.03310913,-0.018539295,-0.020029247
2002-09-18,-0.032591343,-0.018123597,-0.019541085
2002-09-19,-0.03284943,-0.018330798,-0.019784331
2002-09-20,-0.032436132,-0.017999038,-0.019394755
2002-09-23,-0.033738136,-0.01904419,-0.020622075
2002-09-24,-0.033156753,-0.018577531,-0.02007407
2002-09-25,-0.032934785,-0.018399402,-0.019864917
2002-09-26,-0.03309977,-0.030300796,-0.023210466
2002-09-27,-0.033805907,-0.030797154,-0.023824513
2002-09-30,-0.033965826,-0.030909523,-0.02396357
2002-10-01,-0.035208702,-0.03178309,-0.025044322
2002-10-02,-0.034979105,-0.031621724,-0.024844646
2002-10-03,-0.036974013,-0.033023894,-0.02657944
2002-10-04,-0.036841452,-0.03293073,-0.026464164
2002-10-07,-0.036143243,-0.032439977,-0.025856972
2002-10-08,-0.03606206,-0.03238292,-0.0257864
2002-10-09,-0.035760224,-0.032170758,-0.025523901
2002-10-10,-0.035482407,-0.03197542,-0.025282323
2002-10-11,-0.035966694,-0.032315895,-0.02570349
2002-10-14,-0.03717321,-0.033163905,-0.026752591
2002-10-15,-0.038432658,-0.03404914,-0.027847767
2002-10-16,-0.037646472,-0.033496514,-0.027164161
2002-10-17,-0.039788008,-0.03500171,-0.02902633
2002-10-18,-0.039305925,-0.034662902,-0.02860713
2002-10-21,-0.038844228,-0.0343384,-0.028205633
2002-10-22,-0.03785467,-0.03364286,-0.02734524
2002-10-23,-0.03733486,-0.033277526,-0.026893198
2002-10-24,-0.03643787,-0.044482186,-0.021418571
2002-10-25,-0.03568673,-0.04388824,-0.020719767
2002-10-28,-0.03526026,-0.043551058,-0.020323038
2002-10-29,-0.035007298,-0.043351024,-0.020087779
2002-10-30,-0.034295917,-0.042788506,-0.019425869
2002-11-01,-0.033689737,-0.042309225,-0.018862009
2002-11-04,-0.033238113,-0.04195209,-0.018441796
2002-11-05,-0.03295535,-0.04172848,-0.018178701
2002-11-06,-0.032489955,-0.041360453,-0.017745733
2002-11-07,-0.032106638,-0.041057408,-0.017389178
2002-11-08,-0.031992614,-0.04096721,-0.017283022
2002-11-11,-0.032820106,-0.04162155,-0.018052876
2002-11-12,-0.032423973,-0.041308284,-0.0176844
2002-11-13,-0.032824337,-0.04162492,-0.01805687
2002-11-14,-0.032419026,-0.04130438,-0.01767975
2002-11-15,-0.03196162,-0.040942743,-0.017254293
2002-11-18,-0.0330202,-0.041779757,-0.018239021
2002-11-19,-0.032553136,-0.04141046,-0.017804623
2002-11-20,-0.032250345,-0.041171,-0.017522812
2002-11-21,-0.031776786,-0.040796563,-0.017082334
2002-11-22,-0.031425416,-0.026323095,-0.020526052
2002-11-25,-0.03360945,-0.028017148,-0.022494853
2002-11-26,-0.032982945,-0.027531222,-0.021930099
2002-11-27,-0.032465696,-0.027129993,-0.021463871
2002-11-29,-0.032930195,-0.027490273,-0.021882534
2002-12-02,-0.033912122,-0.028251916,-0.022767723
2002-12-03,-0.03325808,-0.027744621,-0.022178113
2002-12-04,-0.032683432,-0.027298868,-0.02166009
2002-12-05,-0.03257239,-0.027212724,-0.021559954
2002-12-06,-0.032054663,-0.026811168,-0.021093309
2002-12-09,-0.031899035,-0.026690483,-0.02095306
2002-12-10,-0.031564534,-0.026430994,-0.02065146
2002-12-11,-0.032242417,-0.026956812,-0.021262527
2002-12-12,-0.032229543,-0.026946798,-0.021250904
2002-12-13,-0.031725407,-0.026555747,-0.020796478
2002-12-16,-0.03130442,-0.026229262,-0.020417035
2002-12-17,-0.03135997,-0.026272342,-0.020467103
2002-12-18,-0.03235346,-0.027042985,-0.021362662
2002-12-19,-0.03195721,-0.026735574,-0.021005452
2002-12-20,-0.031870842,-0.026668608,-0.020927608
2002-12-23,-0.031650007,-0.023744032,-0.017275095
2002-12-24,-0.03167224,-0.02376017,-0.017295003
2002-12-26,-0.03124857,-0.02345255,-0.016914964
2002-12-27,-0.030914962,-0.023210317,-0.016615689
2002-12-30,-0.030614078,-0.022991866,-0.016345859
2002-12-31,-0.030947566,-0.023233935,-0.016644895
2003-01-02,-0.030664623,-0.023028597,-0.016391218
2003-01-03,-0.03045398,-0.022875637,-0.016202211
2003-01-06,-0.032850027,-0.024615288,-0.018351555
2003-01-07,-0.032339394,-0.024244472,-0.017893374
2003-01-08,-0.032845616,-0.02461207,-0.018347502
2003-01-09,-0.03229183,-0.024209991,-0.017850757
2003-01-10,-0.032270253,-0.02419433,-0.017831385
2003-01-13,-0.03263575,-0.02445969,-0.01815927
2003-01-14,-0.032166064,-0.024118662,-0.017737925
2003-01-15,-0.031742275,-0.023811027,-0.017357886
2003-01-16,-0.031459987,-0.023606002,-0.017104626
2003-01-22,-0.031550646,-0.02367185,-0.017185926
2003-01-23,-0.031306505,-0.023494571,-0.01696688
2003-01-24,-0.034121037,-0.025538057,-0.019491553
2003-01-27,-0.038438976,-0.035727397,-0.019054115
2003-01-28,-0.039354026,-0.03634447,-0.019907117
2003-01-29,-0.039140105,-0.036200196,-0.01970774
2003-01-30,-0.03884697,-0.036002472,-0.019434392
2003-01-31,-0.0383842,-0.035690382,-0.019002974
2003-02-03,-0.038729727,-0.03592345,-0.019325137
2003-02-04,-0.038452804,-0.035736725,-0.01906699
2003-02-05,-0.037963152,-0.03540647,-0.018610477
2003-02-06,-0.037742198,-0.03525743,-0.018404484
2003-02-07,-0.03729236,-0.034954086,-0.017985106
2003-02-10,-0.036884427,-0.03467901,-0.017604887
2003-02-11,-0.036668003,-0.034532994,-0.017403066
2003-02-12,-0.036412716,-0.034360826,-0.017165124
2003-02-13,-0.036157906,-0.034189016,-0.01692754
2003-02-14,-0.036105752,-0.034153834,-0.016878963
2003-02-18,-0.035829127,-0.03396727,-0.016620994
2003-02-19,-0.03655064,-0.034453854,-0.017293692
2003-02-20,-0.036996603,-0.03475462,-0.017709434
2003-02-21,-0.036672533,-0.034536093,-0.017407298
2003-02-24,-0.03645146,-0.034386933,-0.017201185
2003-02-25,-0.033824146,-0.025299758,-0.02220887
2003-02-26,-0.03410834,-0.02549912,-0.022462606
2003-02-27,-0.033845305,-0.02531457,-0.022227764
2003-02-28,-0.033809543,-0.025289536,-0.022195816
2003-03-03,-0.033750534,-0.025248155,-0.022143185
2003-03-04,-0.033465862,-0.025048435,-0.02188909
2003-03-05,-0.03325665,-0.024901614,-0.02170229
2003-03-06,-0.033359826,-0.024974003,-0.021794379
2003-03-07,-0.03322953,-0.024882615,-0.02167809
2003-03-10,-0.033058584,-0.024762675,-0.021525502
2003-03-11,-0.032948792,-0.02468568,-0.021427453
2003-03-12,-0.033866167,-0.025329247,-0.02224642
2003-03-13,-0.033625007,-0.025160074,-0.022031128
2003-03-14,-0.033396006,-0.024999425,-0.021826744
2003-03-17,-0.035137236,-0.026221007,-0.023381114
2003-03-18,-0.034787834,-0.025975913,-0.023069143
2003-03-19,-0.036286056,-0.027026951,-0.024406612
2003-03-20,-0.03580594,-0.02669014,-0.023977995
2003-03-21,-0.03541714,-0.02641739,-0.023630917
2003-03-24,-0.034978867,-0.02610989,-0.023239672
2003-03-25,-0.03590375,-0.0205435,-0.020251691
2003-03-26,-0.037219763,-0.021522075,-0.0214324
2003-03-27,-0.03682977,-0.021232113,-0.02108252
2003-03-28,-0.036296427,-0.020835519,-0.020603955
2003-03-31,-0.03578204,-0.020452991,-0.020142436
2003-04-01,-0.03536421,-0.020142302,-0.019767523
2003-04-02,-0.035433173,-0.020193577,-0.019829392
2003-04-03,-0.035295427,-0.020091131,-0.019705832
2003-04-04,-0.035935223,-0.02056691,-0.020279884
2003-04-07,-0.03548479,-0.020231918,-0.019875705
2003-04-08,-0.03502381,-0.019889161,-0.019462109
2003-04-09,-0.0345549,-0.019540489,-0.019041419
2003-04-10,-0.034314156,-0.019361466,-0.018825412
2003-04-11,-0.034258008,-0.019319683,-0.018774986
2003-04-14,-0.03408712,-0.019192621,-0.018621683
2003-04-15,-0.03383434,-0.019004658,-0.018394887
2003-04-16,-0.034187675,-0.019267395,-0.018711925
2003-04-17,-0.03397727,-0.019110948,-0.018523097
2003-04-21,-0.033927143,-0.019073725,-0.018478155
2003-04-22,-0.03406495,-0.019176155,-0.018601835
2003-04-23,-0.03200835,-0.028018132,-0.024461389
2003-04-24,-0.03245294,-0.028328672,-0.024839044
2003-04-25,-0.032310367,-0.028229073,-0.024717927
2003-04-28,-0.03213477,-0.028106451,-0.024568796
2003-04-29,-0.03228706,-0.0282128,-0.024698079
2003-04-30,-0.032553375,-0.028398842,-0.024924397
2003-05-01,-0.032256722,-0.028191581,-0.02467227
2003-05-02,-0.0319739,-0.027994037,-0.024432063
2003-05-05,-0.031708837,-0.027808845,-0.024206936
2003-05-06,-0.031881034,-0.027929172,-0.024353266
