tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,5,5,0.01,0.2,0.01,0.00027006829623132944,4,0.434
0.01,5,5,0.01,0.2,0.001,0.0002903647255152464,9,0.588
0.01,5,5,0.01,0.2,0.0001,0.0002811882586684078,5,0.461
0.01,5,5,0.001,0.0,0.01,0.00037477901787497103,11,0.594
0.01,5,5,0.001,0.0,0.001,0.00034474459243938327,3,0.366
0.01,5,5,0.001,0.0,0.0001,0.0003323117853142321,10,0.557
0.01,5,5,0.001,0.2,0.01,0.00038125296123325825,11,0.652
0.01,5,5,0.001,0.2,0.001,0.00038018132909201086,31,1.267
0.01,5,5,0.001,0.2,0.0001,0.00035107304574921727,40,1.546
0.01,5,5,0.0001,0.0,0.01,0.00041048231651075184,59,1.939
0.01,5,5,0.0001,0.0,0.001,0.00042267379467375576,26,1.016
0.01,5,5,0.0001,0.0,0.0001,0.0004119040968362242,27,1.041
0.01,5,5,0.0001,0.2,0.01,0.0004162408586125821,54,1.978
0.01,5,5,0.0001,0.2,0.001,0.000546865863725543,65,2.316
0.01,5,5,0.0001,0.2,0.0001,0.0005185776972211897,104,3.528
0.01,5,10,0.01,0.0,0.01,0.0002892189077101648,12,0.63
0.01,5,10,0.01,0.0,0.001,0.00031542949727736413,24,0.979
0.01,5,10,0.01,0.0,0.0001,0.00026222612359561026,11,0.608
0.01,5,10,0.01,0.2,0.01,0.00030075942049734294,8,0.569
0.01,5,10,0.01,0.2,0.001,0.0002992507943417877,8,0.565
0.01,5,10,0.01,0.2,0.0001,0.00030397874070331454,8,0.571
0.01,5,10,0.001,0.0,0.01,0.0003542944323271513,8,0.522
0.01,5,10,0.001,0.0,0.001,0.00036679819459095597,5,0.426
0.01,5,10,0.001,0.0,0.0001,0.00035716345882974565,5,0.436
0.01,5,10,0.001,0.2,0.01,0.0003874979738611728,9,0.602
0.01,5,10,0.001,0.2,0.001,0.0003690581943374127,22,1.012
0.01,5,10,0.001,0.2,0.0001,0.00036160016315989196,22,1.007
0.01,5,10,0.0001,0.0,0.01,0.00024392631894443184,2,0.35
0.01,5,10,0.0001,0.0,0.001,0.00024958065478131175,2,0.352
0.01,5,10,0.0001,0.0,0.0001,0.0002508409379515797,2,0.343
0.01,5,10,0.0001,0.2,0.01,0.0002836792846210301,1,0.347
0.01,5,10,0.0001,0.2,0.001,0.00028809046489186585,1,0.356
0.01,5,10,0.0001,0.2,0.0001,0.00028800146537832916,1,0.349
0.01,10,1,0.01,0.0,0.01,0.00027209261315874755,10,0.83
0.01,10,1,0.01,0.0,0.001,0.00033742390223778784,2,0.497
0.01,10,1,0.01,0.0,0.0001,0.0003046229830943048,2,0.505
0.01,10,1,0.01,0.2,0.01,0.0002816843625623733,10,0.922
0.01,10,1,0.01,0.2,0.001,0.0003196970501448959,19,1.345
0.01,10,1,0.01,0.2,0.0001,0.0002484678116161376,5,0.705
0.01,10,1,0.001,0.0,0.01,0.000359796395059675,10,0.826
0.01,10,1,0.001,0.0,0.001,0.0003575339796952903,7,0.709
0.01,10,1,0.001,0.0,0.0001,0.00038384448271244764,10,0.832
0.01,10,1,0.001,0.2,0.01,0.000376519892597571,12,1.02
0.01,10,1,0.001,0.2,0.001,0.0003772064228542149,19,1.344
0.01,10,1,0.001,0.2,0.0001,0.00035134071367792785,12,1.027
0.01,10,1,0.0001,0.0,0.01,0.00036794200423173606,81,3.787
0.01,10,1,0.0001,0.0,0.001,0.00041425906238146126,68,3.245
0.01,10,1,0.0001,0.0,0.0001,0.00041820749174803495,63,3.043
0.01,10,1,0.0001,0.2,0.01,0.0004032375873066485,103,5.277
0.01,10,1,0.0001,0.2,0.001,0.0004118050273973495,105,5.367
0.01,10,1,0.0001,0.2,0.0001,0.0004098745121154934,105,5.357
0.01,10,5,0.01,0.0,0.01,0.00035186755121685565,2,0.511
0.01,10,5,0.01,0.0,0.001,0.00024104707699734718,5,0.643
0.01,10,5,0.01,0.0,0.0001,0.0002723362122196704,13,0.988
0.01,10,5,0.01,0.2,0.01,0.0003672373713925481,9,0.9
0.01,10,5,0.01,0.2,0.001,0.0003372702340129763,26,1.723
0.01,10,5,0.01,0.2,0.0001,0.0003504994965624064,6,0.759
0.01,10,5,0.001,0.0,0.01,0.0003137126041110605,7,0.719
0.01,10,5,0.001,0.0,0.001,0.00036611349787563086,5,0.631
0.01,10,5,0.001,0.0,0.0001,0.00039843915146775544,5,0.632
0.01,10,5,0.001,0.2,0.01,0.00038912706077098846,35,2.13
0.01,10,5,0.001,0.2,0.001,0.0013608766021206975,3,0.65
0.01,10,5,0.001,0.2,0.0001,0.0019773610401898623,3,0.631
0.01,10,5,0.0001,0.0,0.01,0.00024098299036268145,54,2.731
0.01,10,5,0.0001,0.0,0.001,0.0002408921718597412,54,2.74
0.01,10,5,0.0001,0.0,0.0001,0.00024086290795821697,54,2.74
0.01,10,5,0.0001,0.2,0.01,0.0002418953663436696,44,2.578
0.01,10,5,0.0001,0.2,0.001,0.00026304065249860287,37,2.254
0.01,10,5,0.0001,0.2,0.0001,0.00024288376152981073,43,2.545
0.01,10,10,0.01,0.0,0.01,0.00028569443384185433,2,0.523
0.01,10,10,0.01,0.0,0.001,0.00030906774918548763,2,0.523
0.01,10,10,0.01,0.0,0.0001,0.000300594576401636,2,0.524
0.01,10,10,0.01,0.2,0.01,0.0002778001653496176,14,1.187
0.01,10,10,0.01,0.2,0.001,0.0002742485667113215,14,1.178
0.01,10,10,0.01,0.2,0.0001,0.0002809504803735763,14,1.205
0.01,10,10,0.001,0.0,0.01,0.00036025873851031065,5,0.655
0.01,10,10,0.001,0.0,0.001,0.00032907380955293775,5,0.656
0.01,10,10,0.001,0.0,0.0001,0.0003177958424203098,5,0.654
0.01,10,10,0.001,0.2,0.01,0.0003799659898504615,4,0.692
0.01,10,10,0.001,0.2,0.001,0.0003869824286084622,11,1.029
0.01,10,10,0.001,0.2,0.0001,0.00036978244315832853,11,1.034
0.01,10,10,0.0001,0.0,0.01,0.0004151797038502991,47,2.491
0.01,10,10,0.0001,0.0,0.001,0.0004254837112966925,24,1.489
0.01,10,10,0.0001,0.0,0.0001,0.000417985807871446,32,1.83
0.01,10,10,0.0001,0.2,0.01,0.00041673483792692423,45,2.677
0.01,10,10,0.0001,0.2,0.001,0.00043715591891668737,58,3.363
0.01,10,10,0.0001,0.2,0.0001,0.00046310320612974465,52,3.045
0.05,1,1,0.01,0.0,0.01,0.0009524390916340053,7,0.283
0.05,1,1,0.01,0.0,0.001,0.00019631283066701144,5,0.244
0.05,1,1,0.01,0.0,0.0001,0.0002370342699578032,10,0.325
0.05,1,1,0.01,0.2,0.01,0.000970236083958298,17,0.457
0.05,1,1,0.01,0.2,0.001,0.0007954649045132101,11,0.358
0.05,1,1,0.01,0.2,0.0001,0.0004537091008387506,20,0.505
0.05,1,1,0.001,0.0,0.01,0.0009096747962757945,21,0.505
0.05,1,1,0.001,0.0,0.001,1.9720877389772795e-05,39,0.802
0.05,1,1,0.001,0.0,0.0001,4.232315859553637e-06,30,0.647
0.05,1,1,0.001,0.2,0.01,0.0010931966826319695,7,0.291
0.05,1,1,0.001,0.2,0.001,0.0010069140698760748,7,0.292
0.05,1,1,0.001,0.2,0.0001,0.0010760931763797998,7,0.288
0.05,1,1,0.0001,0.0,0.01,0.0009782039560377598,33,0.697
0.05,1,1,0.0001,0.0,0.001,0.0010701706632971764,33,0.709
0.05,1,1,0.0001,0.0,0.0001,0.001111891819164157,33,0.698
0.05,1,1,0.0001,0.2,0.01,0.000918384175747633,60,1.19
0.05,1,1,0.0001,0.2,0.001,0.0010046438546851277,57,1.134
0.05,1,1,0.0001,0.2,0.0001,0.0010551518062129617,56,1.114
0.05,1,5,0.01,0.0,0.01,0.0009664167882874608,12,0.359
0.05,1,5,0.01,0.0,0.001,0.00015149277169257402,13,0.376
0.05,1,5,0.01,0.0,0.0001,0.00011663413170026615,6,0.262
0.05,1,5,0.01,0.2,0.01,0.0009162664646282792,27,0.625
0.05,1,5,0.01,0.2,0.001,0.0009246210684068501,27,0.626
0.05,1,5,0.01,0.2,0.0001,0.00037845384213142097,6,0.274
0.05,1,5,0.001,0.0,0.01,0.0009512302931398153,4,0.225
0.05,1,5,0.001,0.0,0.001,0.0009530690149404109,4,0.226
0.05,1,5,0.001,0.0,0.0001,1.6227317246375605e-05,12,0.358
0.05,1,5,0.001,0.2,0.01,0.0010696814861148596,4,0.24
0.05,1,5,0.001,0.2,0.001,0.0004611482727341354,34,0.748
0.05,1,5,0.001,0.2,0.0001,0.0002735086891334504,18,0.493
0.05,1,5,0.0001,0.0,0.01,0.000915848184376955,35,0.74
0.05,1,5,0.0001,0.0,0.001,0.0009152765851467848,37,0.772
0.05,1,5,0.0001,0.0,0.0001,0.0009067287901416421,38,0.79
0.05,1,5,0.0001,0.2,0.01,0.0009149835095740855,35,0.789
0.05,1,5,0.0001,0.2,0.001,0.0009152603452093899,37,0.8
0.05,1,5,0.0001,0.2,0.0001,0.0009104369673877954,38,0.805
0.05,1,10,0.01,0.0,0.01,0.000943063001614064,4,0.229
0.05,1,10,0.01,0.0,0.001,0.0002076445089187473,21,0.515
0.05,1,10,0.01,0.0,0.0001,0.0001512328744865954,10,0.324
0.05,1,10,0.01,0.2,0.01,0.000916207442060113,19,0.489
0.05,1,10,0.01,0.2,0.001,0.0009192281286232173,30,0.685
0.05,1,10,0.01,0.2,0.0001,0.00031446112552657723,11,0.352
0.05,1,10,0.001,0.0,0.01,0.0009445165051147342,13,0.372
0.05,1,10,0.001,0.0,0.001,3.876899791066535e-05,56,1.082
0.05,1,10,0.001,0.0,0.0001,1.5095271919562947e-05,13,0.372
0.05,1,10,0.001,0.2,0.01,0.0018947714706882834,1,0.187
0.05,1,10,0.001,0.2,0.001,0.001964427065104246,1,0.188
0.05,1,10,0.001,0.2,0.0001,0.001974694197997451,1,0.189
0.05,1,10,0.0001,0.0,0.01,0.0008990135393105447,9,0.314
0.05,1,10,0.0001,0.0,0.001,0.000895523582585156,9,0.306
0.05,1,10,0.0001,0.0,0.0001,0.00089338852558285,9,0.309
0.05,1,10,0.0001,0.2,0.01,0.000915388751309365,9,0.325
0.05,1,10,0.0001,0.2,0.001,0.0009012575610540807,9,0.321
0.05,1,10,0.0001,0.2,0.0001,0.0008977570105344057,9,0.329
0.05,5,1,0.01,0.0,0.01,0.0009751829784363508,14,0.659
0.05,5,1,0.01,0.0,0.001,0.0009880487341433764,8,0.498
0.05,5,1,0.01,0.0,0.0001,0.001034264569170773,8,0.498
0.05,5,1,0.01,0.2,0.01,0.0009281536331400275,9,0.569
0.05,5,1,0.01,0.2,0.001,0.000994232133962214,9,0.575
0.05,5,1,0.01,0.2,0.0001,0.0009220861829817295,9,0.575
0.05,5,1,0.001,0.0,0.01,0.0010391008108854294,8,0.5
0.05,5,1,0.001,0.0,0.001,0.0010029316181316972,17,0.753
0.05,5,1,0.001,0.0,0.0001,0.0010551263112574816,5,0.412
0.05,5,1,0.001,0.2,0.01,0.0010088630951941013,27,1.122
0.05,5,1,0.001,0.2,0.001,0.0010076393373310566,27,1.117
0.05,5,1,0.001,0.2,0.0001,0.0009900365257635713,24,1.034
0.05,5,1,0.0001,0.0,0.01,0.0010740364668890834,1,0.309
0.05,5,1,0.0001,0.0,0.001,0.0010577981593087316,1,0.303
0.05,5,1,0.0001,0.0,0.0001,0.001055436092428863,1,0.303
0.05,5,1,0.0001,0.2,0.01,0.0014735452132299542,1,0.333
0.05,5,1,0.0001,0.2,0.001,0.0014733398566022515,1,0.331
0.05,5,1,0.0001,0.2,0.0001,0.0014733187854290009,1,0.34
0.05,5,5,0.01,0.0,0.01,0.0010516404872760177,1,0.313
0.05,5,5,0.01,0.0,0.001,0.0009176750318147242,13,0.647
0.05,5,5,0.01,0.0,0.0001,0.0009172030258923769,1,0.309
0.05,5,5,0.01,0.2,0.01,0.0009330906323157251,2,0.374
0.05,5,5,0.01,0.2,0.001,0.0009156431769952178,16,0.807
0.05,5,5,0.01,0.2,0.0001,0.0009809231851249933,2,0.375
0.05,5,5,0.001,0.0,0.01,0.0010370881063863635,10,0.561
0.05,5,5,0.001,0.0,0.001,0.000954174785874784,22,0.912
0.05,5,5,0.001,0.0,0.0001,0.001030588522553444,7,0.478
0.05,5,5,0.001,0.2,0.01,0.001050665625371039,12,0.679
0.05,5,5,0.001,0.2,0.001,0.0010821317555382848,17,0.842
0.05,5,5,0.001,0.2,0.0001,0.0010440603364259005,18,0.866
0.05,5,5,0.0001,0.0,0.01,0.0011346478713676333,31,1.153
0.05,5,5,0.0001,0.0,0.001,0.0010724258609116077,31,1.153
0.05,5,5,0.0001,0.0,0.0001,0.0010749167995527387,40,1.419
0.05,5,5,0.0001,0.2,0.01,0.0011301616905257106,129,4.304
